# model_feats, dafi_feats, labels
1.949556644831318408e-05,7.706534961471334100e-05,0.000000000000000000e+00
2.975960727781057358e-03,4.953021649271249771e-03,1.000000000000000000e+00
4.422315862029790878e-03,1.270962599664926529e-02,1.000000000000000000e+00
1.502830069512128830e-02,4.232310876250267029e-02,1.000000000000000000e+00
3.926672041416168213e-01,5.639060735702514648e-01,1.000000000000000000e+00
1.736571639776229858e-01,2.039908021688461304e-01,1.000000000000000000e+00
1.014336812659166753e-04,1.566019782330840826e-04,1.000000000000000000e+00
1.698206852918104914e-11,0.000000000000000000e+00,0.000000000000000000e+00
1.619406044483184814e-03,6.627948489040136337e-03,1.000000000000000000e+00
4.295008864119154168e-07,2.458633571222890168e-05,0.000000000000000000e+00
3.275119513273239136e-02,2.255314290523529053e-01,1.000000000000000000e+00
3.933350853912997991e-06,5.281510295838780233e-14,0.000000000000000000e+00
6.591854173620959045e-08,4.370037368946330311e-15,0.000000000000000000e+00
5.106151501621525313e-09,0.000000000000000000e+00,0.000000000000000000e+00
1.648314764679525979e-07,0.000000000000000000e+00,0.000000000000000000e+00
4.027402028441429138e-02,5.231646075844764709e-02,1.000000000000000000e+00
1.196852505991330418e-09,0.000000000000000000e+00,0.000000000000000000e+00
3.940075694117695093e-04,3.687390708364546299e-04,1.000000000000000000e+00
2.960384881589561701e-04,4.335268167778849602e-04,1.000000000000000000e+00
5.968749755993485451e-04,6.274813204072415829e-04,1.000000000000000000e+00
2.144474908709526062e-02,3.727518022060394287e-02,1.000000000000000000e+00
1.506663858890533447e-02,3.842551633715629578e-02,1.000000000000000000e+00
4.574743285775184631e-02,4.820697009563446045e-02,1.000000000000000000e+00
2.029050483187688769e-09,0.000000000000000000e+00,0.000000000000000000e+00
9.777105879038572311e-05,1.947348500834777951e-04,1.000000000000000000e+00
8.610489203420002013e-06,1.065110154740978032e-05,0.000000000000000000e+00
1.455915917176753283e-04,3.661981900222599506e-04,1.000000000000000000e+00
3.834350500255823135e-04,6.960760802030563354e-04,1.000000000000000000e+00
2.152762189507484436e-02,6.664411723613739014e-02,1.000000000000000000e+00
1.090103685855865479e-01,2.456193715333938599e-01,1.000000000000000000e+00
1.168401553286457784e-07,2.389084875176195055e-05,0.000000000000000000e+00
1.477975936081676878e-10,0.000000000000000000e+00,0.000000000000000000e+00
3.858239948749542236e-02,6.360854953527450562e-02,1.000000000000000000e+00
2.126803519786335528e-05,1.241916981546645539e-32,0.000000000000000000e+00
2.347934241697657853e-05,6.834882515249773860e-05,1.000000000000000000e+00
1.222119182348251343e-01,1.914122402667999268e-01,1.000000000000000000e+00
1.469023991376161575e-04,9.553045383654534817e-04,1.000000000000000000e+00
